rank_nominal,name,net_worth_usd,country,source,fx_rate,ppp_factor,ppp_multiplier,net_worth_ppp,ppp_uplift_pct,rank_ppp,rank_change,net_worth_usd_billion,net_worth_ppp_intl$,net_worth_PPP_intl$,pct_change_vs_nominal,percent_difference_vs_nominal_USD,primary_country,exchange_rate_local_per_USD,ppp_conversion_factor,rank
30,Tadashi Yanai & family,44.0,Japan,Forbes RT 2026-09-07,145.0,93.0,1.5591,68.6,55.91,34,-4,44.0,68.6,68.6,55.91,55.91,Japan,145.0,93.0,30
31,Giovanni Ferrero,43.8,Italy,Forbes RT 2026-09-07,0.92,0.67,1.3731,60.14,37.31,39,-8,43.8,60.14,60.14,37.31,37.31,Italy,0.92,0.67,31
32,Savitri Jindal & family,39.8,India,Forbes RT 2026-09-07,83.42,20.42,4.0852,162.59,308.52,14,18,39.8,162.59,162.59,308.52,308.52,India,83.42,20.42,32
33,Colin Huang,38.2,China,Forbes RT 2026-09-07,7.2,3.5,2.0571,78.58,105.71,32,1,38.2,78.58,78.58,105.71,105.71,China,7.2,3.5,33
34,Li Ka-shing,37.3,Hong Kong,Forbes RT 2026-09-07,7.8,5.5,1.4182,52.9,41.82,43,-9,37.3,52.9,52.9,41.82,41.82,Hong Kong,7.8,5.5,34
35,Shiv Nadar,37.2,India,Forbes RT 2026-09-07,83.42,20.42,4.0852,151.97,308.52,16,19,37.2,151.97,151.97,308.52,308.52,India,83.42,20.42,35
36,Klaus-Michael Kuehne,36.8,Germany,Forbes RT 2026-09-07,0.92,0.73,1.2603,46.38,26.03,45,-9,36.8,46.38,46.38,26.03,26.03,Germany,0.92,0.73,36
37,Low Tuck Kwong,35.0,Indonesia,Forbes RT 2026-09-07,15450.0,4512.0,3.4242,119.85,242.43,21,16,35.0,119.85,119.85,242.43,242.43,Indonesia,15450.0,4512.0,37
38,Tony Bloom,35.0,United Kingdom,Forbes RT 2026-09-07,0.79,0.7,1.1286,39.5,12.86,46,-8,35.0,39.5,39.5,12.86,12.86,United Kingdom,0.79,0.7,38
39,Masayoshi Son,34.0,Japan,Forbes RT 2026-09-07,145.0,93.0,1.5591,53.01,55.91,42,-3,34.0,53.01,53.01,55.91,55.91,Japan,145.0,93.0,39
40,William Lei Ding,33.0,China,Forbes RT 2026-09-07,7.2,3.5,2.0571,67.88,105.7,37,3,33.0,67.88,67.88,105.7,105.7,China,7.2,3.5,40
41,He Xiangjian,32.0,China,Forbes RT 2026-09-07,7.2,3.5,2.0571,65.83,105.72,38,3,32.0,65.83,65.83,105.72,105.72,China,7.2,3.5,41
42,Charles de Croes de Liedekerke,31.5,Belgium,Forbes RT 2026-09-07,0.92,0.75,1.2267,38.64,22.67,47,-5,31.5,38.64,38.64,22.67,22.67,Belgium,0.92,0.75,42
43,Stephen Schwarzman,31.0,United States,Forbes RT 2026-09-07,1.0,1.0,1.0,31.0,0.0,49,-6,31.0,31.0,31.0,0.0,0.0,United States,1.0,1.0,43
44,R. Budi Hartono,31.0,Indonesia,Forbes RT 2026-09-07,15450.0,4512.0,3.4242,106.15,242.42,23,21,31.0,106.15,106.15,242.42,242.42,Indonesia,15450.0,4512.0,44
45,Michael Hartono,30.0,Indonesia,Forbes RT 2026-09-07,15450.0,4512.0,3.4242,102.73,242.43,27,18,30.0,102.73,102.73,242.43,242.43,Indonesia,15450.0,4512.0,45
46,Len Blavatnik,30.0,United States,Forbes RT 2026-09-07,1.0,1.0,1.0,30.0,0.0,50,-4,30.0,30.0,30.0,0.0,0.0,United States,1.0,1.0,46
47,Vladimir Potanin,29.1,Russia,Forbes RT 2026-09-07,100.0,27.5,3.6364,105.82,263.64,24,23,29.1,105.82,105.82,263.64,263.64,Russia,100.0,27.5,47
48,Dietrich Mateschitz (estate),28.5,Austria,Forbes RT 2026-09-07,0.92,0.76,1.2105,34.5,21.05,48,0,28.5,34.5,34.5,21.05,21.05,Austria,0.92,0.76,48
49,Roman Abramovich,28.5,Russia,Forbes RT 2026-09-07,100.0,27.5,3.6364,103.64,263.65,25,24,28.5,103.64,103.64,263.65,263.65,Russia,100.0,27.5,49
50,Jack Ma,26.4,China,Forbes RT 2026-09-07,7.2,3.5,2.0571,54.31,105.72,41,9,26.4,54.31,54.31,105.72,105.72,China,7.2,3.5,50
